"","Year","CatchCI_Lower","CatchCI_Upper","Scenario"
"1",2019,80.682443019917,86.0305999078987,1
"2",2020,111.71420831191,121.22340654395,1
"3",2021,265.534360541766,289.849687133183,1
"4",2022,353.725750172437,379.458838173183,1
"5",2023,1021.27599947945,1078.60763673881,1
"6",2024,1167.08446040034,1254.11951209884,1
"7",2025,1889.7243487773,2017.24166906178,1
"8",2026,2132.00659295935,2247.85612515265,1
"9",2027,2399.22912231681,2511.37563535389,1
"10",2028,2572.96159317803,2687.47206665289,1
"11",2029,2779.31692808173,2958.26249122414,1
"12",2030,2922.63722710931,3109.10296346727,1
"13",2031,3039.91760772051,3235.40521135241,1
"14",2032,3123.02219096582,3319.81558915885,1
"15",2033,3176.57339392019,3361.89017129701,1
"16",2034,3234.22072868725,3418.83817555046,1
"17",2035,3249.30691885533,3443.60306928154,1
"18",2036,3227.03209249943,3436.9744235163,1
"19",2037,3265.09089677878,3478.85255258945,1
"20",2038,3254.05076872103,3460.90691461559,1
"21",2039,3331.81456512133,3561.21737744315,1
"22",2040,NA,NA,1
