"","Year","RCI_Lower","RCI_Upper","Scenario"
"1",2019,1399817.47763144,1544414.08438945,1
"2",2020,1670851.60634218,1984041.8797938,1
"3",2021,2215615.92915466,2621620.01369162,1
"4",2022,2594580.89472243,3050247.72366025,1
"5",2023,2741393.09006961,3074396.91463728,1
"6",2024,2617668.69025563,3167881.82272216,1
"7",2025,2610265.75201756,3005591.0359128,1
"8",2026,2547022.66023265,3023632.23060084,1
"9",2027,2631227.48301715,2975198.55607899,1
"10",2028,2561814.93489812,2983238.74699197,1
"11",2029,2729561.09218857,3207241.77179781,1
"12",2030,2549302.19732996,3027146.96410493,1
"13",2031,2692058.75514721,3140088.65463643,1
"14",2032,2760369.0942234,3167413.07822708,1
"15",2033,2698580.43240473,3181434.16287945,1
"16",2034,2621212.03950588,3008903.68928664,1
"17",2035,2656713.62742867,3075909.02951431,1
"18",2036,2579289.43245553,3033540.82864135,1
"19",2037,2452221.79833031,2967401.75890813,1
"20",2038,2512752.88816602,3085908.59040554,1
"21",2039,2529224.54322605,3010039.95294892,1
"22",2040,2449434.85443209,2929445.84282783,1
