"","REEF","Year","Scenario"
"1",116.093311596512,2019,20
"2",NA,2020,20
"3",5.82066170213578,2021,20
"4",NA,2022,20
"5",-9.01511127763106,2023,20
"6",NA,2024,20
"7",-37.3872778643779,2025,20
"8",NA,2026,20
"9",-39.2269173908901,2027,20
"10",NA,2028,20
"11",-49.2447045677581,2029,20
"12",NA,2030,20
"13",-54.6719875470008,2031,20
"14",NA,2032,20
"15",-57.542652838244,2033,20
"16",NA,2034,20
"17",-47.7698040697342,2035,20
"18",NA,2036,20
"19",-16.1513275546878,2037,20
"20",NA,2038,20
"21",24.4228332193495,2039,20
