"","Catchsim","Year","Catchest","Scenario"
"1",9759.32208492558,1986,9342.426,1
"2",9798.10963670389,1987,9807.849,1
"3",9487.34624629892,1988,9382.781,1
"4",8770.95389353152,1989,9533.863,1
"5",14259.9563987235,1990,15822.6,1
"6",17892.2514664439,1991,17461.98,1
"7",16843.5045091623,1992,14687.38,1
"8",11258.8013273507,1993,9708.461,1
"9",7568.32881891865,1994,6565.665,1
"10",5812.46592980664,1995,5332.432,1
"11",5004.95249693247,1996,5164.251,1
"12",5452.38701018425,1997,4777.869,1
"13",4213.11611145766,1998,3682.869,1
"14",3321.0025799604,1999,2889.371,1
"15",2429.53002823588,2000,2814.571,1
"16",3527.58639413026,2001,3829.701,1
"17",4393.98620097736,2002,4195.073,1
"18",4240.30131145634,2003,4334.658,1
"19",4684.84265530354,2004,4564.123,1
"20",4707.14899084329,2005,4870.861,1
"21",5284.61296492874,2006,4617.845,1
"22",3162.68866199056,2007,3445.956,1
"23",3897.52122203001,2008,4426.829,1
"24",5274.08022468814,2009,5418.358,1
"25",5663.6127072351,2010,5500.362,1
"26",5398.15407041828,2011,5243.021,1
"27",5152.42581169012,2012,4473.507,1
"28",3039.01853263613,2013,2633.055,1
"29",1947.8096815994,2014,1719.913,1
"30",1245.11330805806,2015,1075.392,1
"31",260.642551934867,2016,300.6102,1
"32",580.032677377119,2017,655.4264,1
"33",860.913139705072,2018,756.0804,1
"34",130.598827043881,2019,130.6401,1
"35",181.396658522968,2020,181.8677,1
"36",365.260563908851,2021,365.4484,1
"37",491.373190494546,2022,494.2087,1
"38",1071.14224247202,2023,1080.68,1
"39",1262.4894827053,2024,1272.5535,1
"40",1778.94930507942,2025,1779.1165,1
"41",2099.90038307638,2026,2105,1
"42",1988.71761329961,2027,1992.0595,1
"43",2230.52870385112,2028,2240.32,1
"44",2027.65542449445,2029,2019.187,1
"45",2265.34147687206,2030,2242.574,1
"46",2010.86654641566,2031,1990.2045,1
"47",2176.64496579038,2032,2178.4345,1
"48",1926.54640987986,2033,1944.8835,1
"49",2071.30515657611,2034,2089.7625,1
"50",1705.35581509019,2035,1712.7915,1
"51",1794.82836694087,2036,1820.5495,1
"52",1744.67498671499,2037,1737.704,1
