"","SSB","Year","SSBest","Scenario","F_full","Fest","Catchsim","Catchest","R","Rest","REESSB","REEF","rhoF","rhoSSB"
"1",9526.12062646684,1986,16365.725,1,0.96721,1.042386,6714.12322450683,6918.151,10390600,10364660,NA,NA,NA,NA
"2",16627.9862433571,1987,20289.02,1,0.836977,0.8649765,8154.32226323653,8036.948,16225800,16341825,NA,NA,NA,NA
"3",20799.6274969771,1988,22977.52,1,0.852962,0.8768688,9714.78699135907,9621.4885,16847800,16903155,NA,NA,NA,NA
"4",23411.6302759427,1989,24983.805,1,0.6555,0.67583425,8402.12074026061,8405.94,30233800,30375740,NA,NA,NA,NA
"5",25326.3706544718,1990,31679.19,1,0.956372,0.97522545,14003.7340668444,13926.645,4526620,4495609,NA,NA,NA,NA
"6",31995.2420572651,1991,34923.47,1,1.19324,1.21199,17916.6395960877,17813.01,4628870,4643146,NA,NA,NA,NA
"7",35182.8558432076,1992,29623.505,1,1.2111,1.2273605,16849.6076579141,16840.125,8321060,8441285,NA,NA,NA,NA
"8",29813.9101489842,1993,18429.26,1,1.31222,1.329116,11260.3528475583,11254.435,8306270,8372461,NA,NA,NA,NA
"9",18583.4158946592,1994,12151.135,1,1.60134,1.6444305,7568.70404268023,7577.743,10593000,10651100,NA,NA,NA,NA
"10",12247.2128152542,1995,10557.165,1,1.4559,1.48949,5812.52529517004,5809.612,3499470,3511914.5,NA,NA,NA,NA
"11",10606.5260928632,1996,11115.24,1,1.05505,1.072094,5004.91654551501,4993.6765,3785520,3787193,NA,NA,NA,NA
"12",11158.1827355498,1997,11393.825,1,0.990981,1.004357,5452.38964077071,5454.619,3111340,3134558.5,NA,NA,NA,NA
"13",11427.4503519143,1998,9396.8215,1,0.862996,0.8706605,4213.11684502266,4211.825,5080230,5082807,NA,NA,NA,NA
"14",9426.16634101824,1999,8275.2915,1,0.762063,0.7733708,3321.00281333194,3328.623,4473680,4475616.5,NA,NA,NA,NA
"15",8295.84757637165,2000,8454.488,1,0.524024,0.53003895,2429.52977317619,2428.3595,8768560,8760291,NA,NA,NA,NA
"16",8487.56988448082,2001,10658.175,1,0.624922,0.63060485,3527.58625301719,3535.8145,5105900,5097383,NA,NA,NA,NA
"17",10685.6181868035,2002,12776.28,1,0.666422,0.67020565,4393.9862182332,4374.199,1316070,1307005.5,NA,NA,NA,NA
"18",12810.6053789209,2003,13866.54,1,0.531522,0.53337325,4240.3012884208,4233.2625,5760720,5774100.5,NA,NA,NA,NA
"19",13890.4673064282,2004,13690.2,1,0.558618,0.56132965,4684.84265836972,4696.0655,2064430,2058600.5,NA,NA,NA,NA
"20",13703.0695082621,2005,12517.395,1,0.647474,0.6506965,4707.148984831,4705.8205,6694740,6692448.5,NA,NA,NA,NA
"21",12533.363110066,2006,11409.875,1,0.879411,0.8905986,5284.61296577405,5298.007,4096920,4081515.5,NA,NA,NA,NA
"22",11440.9025587289,2007,9908.916,1,0.582746,0.5898751,3162.68866118029,3160.465,6912250,6953488.5,NA,NA,NA,NA
"23",9960.38801199186,2008,11575.32,1,0.617485,0.6239713,3897.52122164339,3905.063,5430370,5424524.5,NA,NA,NA,NA
"24",11613.6339922183,2009,12628.47,1,0.82387,0.83465085,5274.08022447947,5279.7455,4118280,4141145,NA,NA,NA,NA
"25",12673.0324810723,2010,12288.89,1,0.934049,0.94656755,5663.61270725673,5672.4435,2736090,2759867,NA,NA,NA,NA
"26",12325.9728241571,2011,10582.63,1,1.04277,1.0579675,5398.15407042571,5402.753,1711080,1723927,NA,NA,NA,NA
"27",10642.9303237089,2012,7981.831,1,1.50474,1.526499,5152.42581169272,5143.8545,1645230,1666407.5,NA,NA,NA,NA
"28",8019.45803934276,2013,4490.289,1,1.69086,1.7271955,3039.01853263663,3034.5645,1681620,1702721,NA,NA,NA,NA
"29",4516.21619272218,2014,2654.1775,1,2.17901,2.2356265,1947.80968159948,1943.5665,787682,793334.7,NA,NA,NA,NA
"30",2676.99893825378,2015,1751.772,1,2.22469,2.271145,1245.11330805807,1243.8975,2701790,2722370,NA,NA,NA,NA
"31",1759.86013695052,2016,1444.3385,1,0.370279,0.37415215,260.642551934866,260.5386,1184440,1186885,NA,NA,NA,NA
"32",1439.88101254476,2017,2570.5435,1,0.459487,0.4598548,580.032677377118,579.6091,757999,757120.5,NA,NA,NA,NA
"33",2555.22478328137,2018,3576.534,1,0.419339,0.41728085,860.913139705072,861.56355,1845300,1845964,NA,NA,NA,NA
"34",3552.2021825003,2019,4013.9975,1,0.0285989298286614,0.028341415,83.727957184679,83.0999,1477796.65527603,1459667.5,2.24071154495872,-0.989179236844562,NA,NA
"35",3977.09026381524,2020,5558.9325,1,0.0279871428578652,0.028257065,116.982274608037,116.05685,1841817.85615559,1806179.5,NA,NA,0.00380332688267524,-0.00528310776577749
"36",5496.61090749164,2021,7471.4315,1,0.0489583444050572,0.048938275,274.938957556551,278.0573,2426305.65604778,2386213.5,3.55070098651493,-3.05760254221606,0.00462075975526963,0.000175430061188577
"37",7381.10975379442,2022,9846.387,1,0.0482246273647976,0.048384995,363.172737868812,365.5785,2810567.61447933,2877999,NA,NA,0.00961196852362521,-0.00191344845520583
"38",9707.3717941758,2023,13395.46,1,0.103525697278581,0.102183,1058.88482876418,1051.287,2882560.44401764,2938946.5,4.33799478868175,-3.51286229751237,0.0113946050889928,-0.00209938762785654
"39",13163.3279926408,2024,15908.505,1,0.0997748609629354,0.099027145,1209.39234369413,1195.0285,2807288.35613237,2835431,NA,NA,0.0138127959383358,-0.00294367148527751
"40",15725.4154637015,2025,18482.895,1,0.144374120111535,0.14310625,1952.74044640233,1950.3365,2773498.09623934,2825105.5,4.40714486264843,-4.02864570885391,0.0125572549352762,-0.00320690960140997
"41",18364.0549032521,2026,20827.575,1,0.139943576115486,0.1383782,2192.89121603951,2199.227,2770143.7219335,2741771,NA,NA,0.00673981442908478,0.000543413677582883
"42",20609.3845137353,2027,22637.715,1,0.142287552063921,0.1412612,2445.07590116656,2474.3145,2782931.95288455,2763961.5,3.62690801438941,-3.36972386570368,0.00896330284703278,0.00237561731409089
"43",22766.304573511,2028,24705.71,1,0.140011731865198,0.13763045,2634.86510824725,2654.9415,2785356.77297328,2807709,NA,NA,0.00175629720066634,0.00458768137439883
"44",24583.8535847933,2029,26322.195,1,0.142213958624904,0.1413786,2858.90110047517,2870.611,2970087.35455327,2904310,3.37670969293192,-3.40649160794507,0.00407877480983599,0.00342424516027449
"45",25930.1378298023,2030,27472.795,1,0.140654964457906,0.1398074,2986.61886348156,2982.076,2730366.70214418,2764837,NA,NA,-0.00136625029187388,0.0069637681883358
"46",27564.4533152699,2031,28754.2,1,0.141908414724097,0.140545,3126.8062736889,3157.085,2933837.66439282,2833515,2.54751218257101,-3.45438571527035,0.00124891897668973,0.00208158067060486
"47",28573.3775281764,2032,29544.67,1,0.140553560071567,0.1389081,3183.87836217914,3200.892,2952551.30271776,3004975,NA,NA,-0.00395296441817828,0.00750897222919259
"48",29091.2661690901,2033,29846.815,1,0.140599842047393,0.13846915,3286.99972554278,3268.426,2967000.67339494,2926966.5,2.57217404963115,-1.68800564894276,-0.00986036473311257,0.0122921912697566
"49",29881.252792448,2034,30102.245,1,0.139779124815775,0.13579975,3331.45309625656,3335.338,2828126.07915635,2723466.5,NA,NA,-0.0054235992439964,0.00962204666132163
"50",30298.7576485761,2035,30646.325,1,0.140506952911102,0.1359097,3345.22496291734,3326.0575,2857497.711858,2853915,1.8141478044352,-1.57118571092181,-0.00189866528884341,0.00699368570010839
"51",30499.8615326652,2036,30653.515,1,0.138487273026742,0.1349696,3327.06006843465,3317.039,2809816.01924978,2754742,NA,NA,-0.000641063657199965,0.00705765344739975
"52",30989.7977610808,2037,30988.89,1,0.139480600078358,0.135856,3395.70914122534,3365.563,2672202.22094083,2608419,1.17948934476283,-0.683570756881434,-0.00318163319587278,0.00774875941853421
"53",NA,2039,NA,1,NA,NA,NA,NA,NA,NA,0.840152682999374,-1.47564425529557,0.000990587384797403,0.00622409267888119
"54",NA,1984,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,1985,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,2038,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.000355732305510589,0.00635786669028438
