"","Year","SSBCI_Lower","SSBCI_Upper","Scenario","FCI_Lower","FCI_Upper","CatchCI_Lower","CatchCI_Upper","RCI_Lower","RCI_Upper"
"1",2019,3552.2021825003,3552.2021825003,1,0.0275546428158866,0.0293932463286391,80.682443019917,86.0305999078987,1399817.47763144,1544414.08438945
"2",2020,3976.7035650733,3977.42061964621,1,0.0269240033027065,0.0292488118710142,111.71420831191,121.22340654395,1670851.60634218,1984041.8797938
"3",2021,5486.59402771686,5506.67099638987,1,0.0469768555658249,0.0514505865263675,265.534360541766,289.849687133183,2215615.92915466,2621620.01369162
"4",2022,7335.87094356899,7446.41705254708,1,0.0461143900986384,0.050499130833426,353.725750172437,379.458838173183,2594580.89472243,3050247.72366025
"5",2023,9597.64588005915,9869.19724426191,1,0.100045501780018,0.107527267028541,1021.27599947945,1078.60763673881,2741393.09006961,3074396.91463728
"6",2024,12953.8689667535,13434.933931438,1,0.0971706594435688,0.104027619786941,1167.08446040034,1254.11951209884,2617668.69025563,3167881.82272216
"7",2025,15401.5126325891,16033.6183271485,1,0.141073043366602,0.148042980147637,1889.7243487773,2017.24166906178,2610265.75201756,3005591.0359128
"8",2026,17904.5954842415,18778.5806333684,1,0.13620431663944,0.143923742190729,2132.00659295935,2247.85612515265,2547022.66023265,3023632.23060084
"9",2027,20176.3636140211,21172.2296844682,1,0.139237606717618,0.145333217004825,2399.22912231681,2511.37563535389,2631227.48301715,2975198.55607899
"10",2028,22111.7785082386,23273.6523958199,1,0.135871475499238,0.144499979429069,2572.96159317803,2687.47206665289,2561814.93489812,2983238.74699197
"11",2029,24011.8376646778,25184.0749893264,1,0.138540137143108,0.145857620855291,2779.31692808173,2958.26249122414,2729561.09218857,3207241.77179781
"12",2030,25401.8801300443,26885.4302058648,1,0.136921466838245,0.144175430421968,2922.63722710931,3109.10296346727,2549302.19732996,3027146.96410493
"13",2031,26692.5670514525,28278.8288935335,1,0.137364713211385,0.146199873420834,3039.91760772051,3235.40521135241,2692058.75514721,3140088.65463643
"14",2032,27933.7320770722,29379.7007432011,1,0.135203713037382,0.14517683906337,3123.02219096582,3319.81558915885,2760369.0942234,3167413.07822708
"15",2033,28495.9819717212,30069.5116173264,1,0.136552235506825,0.145270356222134,3176.57339392019,3361.89017129701,2698580.43240473,3181434.16287945
"16",2034,29159.3893616992,30638.5613202313,1,0.135824687645381,0.144586541407554,3234.22072868725,3418.83817555046,2621212.03950588,3008903.68928664
"17",2035,29494.4406929377,31025.5365951582,1,0.137286796131311,0.143168805347553,3249.30691885533,3443.60306928154,2656713.62742867,3075909.02951431
"18",2036,29921.10726544,31163.7325027604,1,0.134179084815403,0.142398034042981,3227.03209249943,3436.9744235163,2579289.43245553,3033540.82864135
"19",2037,30333.3395960497,31746.3120353229,1,0.135801557197799,0.143562140568786,3265.09089677878,3478.85255258945,2452221.79833031,2967401.75890813
"20",2038,30243.4091770018,31658.3912448088,1,0.133515535177744,0.141820136559276,3254.05076872103,3460.90691461559,2512752.88816602,3085908.59040554
"21",2039,30361.4088413317,31776.705438502,1,0.134633453178462,0.143065072180682,3331.81456512133,3561.21737744315,2529224.54322605,3010039.95294892
"22",2040,30356.0101725326,32284.658135493,1,0.133361880947123,0.1407410373186,NA,NA,2449434.85443209,2929445.84282783
