"","Year","FCI_Lower","FCI_Upper","Scenario"
"1",2019,0.0275546428158866,0.0293932463286391,1
"2",2020,0.0269240033027065,0.0292488118710142,1
"3",2021,0.0469768555658249,0.0514505865263675,1
"4",2022,0.0461143900986384,0.050499130833426,1
"5",2023,0.100045501780018,0.107527267028541,1
"6",2024,0.0971706594435688,0.104027619786941,1
"7",2025,0.141073043366602,0.148042980147637,1
"8",2026,0.13620431663944,0.143923742190729,1
"9",2027,0.139237606717618,0.145333217004825,1
"10",2028,0.135871475499238,0.144499979429069,1
"11",2029,0.138540137143108,0.145857620855291,1
"12",2030,0.136921466838245,0.144175430421968,1
"13",2031,0.137364713211385,0.146199873420834,1
"14",2032,0.135203713037382,0.14517683906337,1
"15",2033,0.136552235506825,0.145270356222134,1
"16",2034,0.135824687645381,0.144586541407554,1
"17",2035,0.137286796131311,0.143168805347553,1
"18",2036,0.134179084815403,0.142398034042981,1
"19",2037,0.135801557197799,0.143562140568786,1
"20",2038,0.133515535177744,0.141820136559276,1
"21",2039,0.134633453178462,0.143065072180682,1
"22",2040,0.133361880947123,0.1407410373186,1
