"","SSBratioreal","Fratioreal","Year","Scenario"
"1",0.406697679161896,0.450478615909091,2019,21
"2",0.450005875257648,0.175294757588138,2020,21
"3",0.523798751276723,0.208185974479169,2021,21
"4",0.638328714023247,0.267376041008427,2022,21
"5",0.797204987132537,0.377981113021063,2023,21
"6",0.898285545945138,0.488844410061139,2024,21
"7",1.02188805610605,0.620291432809917,2025,21
"8",1.11544909521879,0.629736280334922,2026,21
"9",1.3247929703918,0.619800330142285,2027,21
"10",1.48529031039266,0.55838449736417,2028,21
"11",1.61458563003779,0.526864185980163,2029,21
"12",1.66506373497194,0.492116138508135,2030,21
"13",1.6953829220118,0.470397926547227,2031,21
"14",1.6890418890751,0.463203530781469,2032,21
"15",1.65290013344773,0.464534957243326,2033,21
"16",1.55197993760057,0.460244530302117,2034,21
"17",1.47808695553212,0.465021151853534,2035,21
"18",1.34825241686222,0.456315999724933,2036,21
"19",1.24113672482948,0.438853976892584,2037,21
"20",1.20865034682773,0.430778451768068,2038,21
"21",1.25885486413462,0.422887484243585,2039,21
"22",1.29306735193136,0.417182557427446,2040,21
"23",0.406703867990616,0.450478615909091,2019,22
"24",0.44991003415993,0.228459726314014,2020,22
"25",0.523744246378814,0.27398630383896,2021,22
"26",0.630009120733041,0.325414863967694,2022,22
"27",0.776981480401013,0.419958556258215,2023,22
"28",0.870896773854629,0.512211932501979,2024,22
"29",0.989164989878192,0.630912038732174,2025,22
"30",1.0940647263583,0.607879107099565,2026,22
"31",1.32387428160849,0.614214368844133,2027,22
"32",1.47988451579972,0.56850808693792,2028,22
"33",1.58921038866215,0.512576946629167,2029,22
"34",1.64320581896095,0.493633902346588,2030,22
"35",1.69075320476894,0.488170970298011,2031,22
"36",1.69076988512725,0.463144096988614,2032,22
"37",1.6202902164139,0.463094678038705,2033,22
"38",1.53557196679299,0.459039071465187,2034,22
"39",1.48158290174829,0.454091723765724,2035,22
"40",1.36281770742829,0.45911840342784,2036,22
"41",1.25650194021959,0.444338884707879,2037,22
"42",1.22634990825933,0.441795287021291,2038,22
"43",1.2519129104124,0.426477446172974,2039,22
"44",1.27380239555718,0.409141377199882,2040,22
"45",0.406718227551627,0.452535595890411,2019,23
"46",0.449632145215035,0.451901328385868,2020,23
"47",0.524286522125231,0.507440490093093,2021,23
"48",0.601740934861661,0.504400772772956,2022,23
"49",0.717532393701538,0.526956224125037,2023,23
"50",0.787414997838505,0.524513293959427,2024,23
"51",0.913547691825952,0.509037251376902,2025,23
"52",1.03471167159789,0.489177533144112,2026,23
"53",1.29101111807148,0.468879947023483,2027,23
"54",1.5073473504977,0.441990656734213,2028,23
"55",1.67560467197658,0.448946142436502,2029,23
"56",1.7548716001399,0.450035883825423,2030,23
"57",1.79856194819077,0.456611823731047,2031,23
"58",1.8040320594444,0.449541427031854,2032,23
"59",1.73528361210735,0.458206569176874,2033,23
"60",1.61318474953167,0.455367444849503,2034,23
"61",1.54691160772064,0.450653469151346,2035,23
"62",1.41076472676814,0.431165678211913,2036,23
"63",1.29374019467181,0.422163672225747,2037,23
"64",1.25627540783531,0.412957146329602,2038,23
"65",1.28679519480586,0.387840501777802,2039,23
"66",1.31933734636143,0.376325777565291,2040,23
"67",0.406723680497731,0.452535595890411,2019,24
"68",0.450139464280047,0.333476045251723,2020,24
"69",0.524195326591942,0.228216899422487,2021,24
"70",0.613883683650015,0.221555589946195,2022,24
"71",0.762790922146193,0.225590360419085,2023,24
"72",0.878328085898796,0.243911881955626,2024,24
"73",1.05469837180819,0.263751307770331,2025,24
"74",1.2300141960355,0.272374425475573,2026,24
"75",1.54473800853757,0.287754887280236,2027,24
"76",1.81266730085478,0.316992559494577,2028,24
"77",2.03079266858833,0.352353853958934,2029,24
"78",2.10674962847625,0.400744248713397,2030,24
"79",2.11697769272003,0.445493849955715,2031,24
"80",2.07366038993022,0.502215620620328,2032,24
"81",1.9225036769759,0.554784983506909,2033,24
"82",1.74390111483851,0.583242961540074,2034,24
"83",1.59088130414267,0.571912509377161,2035,24
"84",1.3858990828516,0.518690452858696,2036,24
"85",1.22643933832015,0.462374182324173,2037,24
"86",1.17252594671917,0.406489439859946,2038,24
"87",1.20692163208022,0.368341317069573,2039,24
"88",1.24596333531996,0.349536448836138,2040,24
