"","R","Year","Rest","Scenario"
"1",10390600,1986,12582490,1
"2",16225800,1987,16515020,1
"3",16847800,1988,20196780,1
"4",30233800,1989,26421520,1
"5",4526620,1990,4618145,1
"6",4628870,1991,6037140,1
"7",8321060,1992,8220762,1
"8",8306270,1993,9311228,1
"9",10593000,1994,9169026,1
"10",3499470,1995,3552870,1
"11",3785520,1996,3347225,1
"12",3111340,1997,3807874,1
"13",5080230,1998,4649134,1
"14",4473680,1999,5419222,1
"15",8768560,2000,7537526,1
"16",5105900,2001,4049423,1
"17",1316070,2002,1837512,1
"18",5760720,2003,4764557,1
"19",2064430,2004,2831757,1
"20",6694740,2005,5552647,1
"21",4096920,2006,5090392,1
"22",6912250,2007,6187585,1
"23",5430370,2008,4754299,1
"24",4118280,2009,3390424,1
"25",2736090,2010,2158098,1
"26",1711080,2011,1664752,1
"27",1645230,2012,1569640,1
"28",1681620,2013,1394004,1
"29",787682,2014,1018020,1
"30",2701790,2015,2241924,1
"31",1184440,2016,907800.6,1
"32",757999,2017,766124.1,1
"33",1845300,2018,1545644,1
"34",2071501.55211027,2019,913848.7,1
"35",2910540.82158393,2020,1379185,1
"36",3088314.6395884,2021,1513840,1
"37",4205064.55705922,2022,1985344,1
"38",4118018.8509603,2023,2058340,1
"39",4538295.22040375,2024,2228065.5,1
"40",3900872.24697819,2025,1852958,1
"41",3921173.30469164,2026,1857050,1
"42",4434343.51227828,2027,2093844,1
"43",3121429.40308235,2028,1536582,1
"44",3279376.8428712,2029,1584687.5,1
"45",3004452.6259735,2030,1504951,1
"46",2858050.07380875,2031,1463733.5,1
"47",2710534.26162663,2032,1448500.5,1
"48",2582352.16027777,2033,1530017.5,1
"49",3292614.04121138,2034,2005989,1
"50",3411195.815145,2035,2155100.5,1
"51",3346914.7229609,2036,2236653.5,1
"52",2821996.8506733,2037,1947599,1
